DOI,来源,研究方向,论文标题,CR_摘要,CR_作者和机构,CR_参考文献DOI,topn_disciplines
10.1353/sys.2023.a917263,JOURNAL OF SONG-YUAN STUDIES,0603 World History; 0602 History of China; 0303 Sociology,Tracing the Image of the Stringless 'Qin' in Buddhist and Literati Writings in the Song Dynasty (960-1279),"Abstract: This article delves into the religious, philosophical, and poetic connotations of the stringless qin during the Song dynasty, particularly its significance in Chan Buddhism and literati culture. For Chan monks, it analogously represented the transmission of unspoken teachings and the urgency of transcending intellection and language. Simultaneously, Song literati wove the stringless qin into diverse narratives, reflecting both their philosophical explorations and Tao Qian’s influence. By tracing its historical trajectory both within and outside the soteriological context, the study sheds light on the dynamic interactions and shared influences between literati and Buddhist monks.","[('Meimei Zhang', '')]",[],"[{""discipline"": ""0602 中国史"", ""score"": 0.5964813520510991}, {""discipline"": ""0303 社会学"", ""score"": 0.5831728279590607}, {""discipline"": ""0603 世界史"", ""score"": 0.5820980707804362}, {""discipline"": ""0501 中国语言文学"", ""score"": 0.49783360461393994}, {""discipline"": ""0101 哲学"", ""score"": 0.49728924830754595}]"
10.1353/tcc.2024.a917211,TWENTIETH-CENTURY CHINA,0603 World History; 0602 History of China,"Thought Reform in Daily Life: Revolutionary Ideology and the Self of a Chinese College Student, 1951-1953","Abstract: This article reexamines China's Thought Reform campaign in higher education through a college student's daily experience. Unlike previous research, which has examined the ideological effects of the Chinese Communist Party (CCP) on faculty members, we focus on college students' thoughts, emotions, and behavior before, during, and after the Thought Reform campaign. On the basis of in-depth analysis of personal diaries and official archives, this article examines how a college student understood, accepted, and practiced revolutionary values and the conflicts that occurred during these practices. We argue that students selectively practiced revolutionary values following personal motivations, mainly focusing on the specific values that matched their daily concerns and interests. We also argue that, although the Thought Reform campaign consolidated the CCP's power in colleges and universities, it had little effect on individuals' desires to pursue personal interests and happiness in their daily lives.","[('Haolan Zheng', ''), ('Letian Zhang', '')]",[],"[{""discipline"": ""0602 中国史"", ""score"": 0.6718568940957388}, {""discipline"": ""0603 世界史"", ""score"": 0.6592692355314891}, {""discipline"": ""0302 政治学"", ""score"": 0.5314974904060363}, {""discipline"": ""0305 马克思主义理论"", ""score"": 0.5280884683132172}, {""discipline"": ""0101 哲学"", ""score"": 0.5274075110753377}]"
10.1353/tcc.2024.a925425,TWENTIETH-CENTURY CHINA,0603 World History; 0602 History of China,The Relief Campaign for the 1954 Yangzi River Flood and Rural Collectivization in Early Communist China,"Abstract: In 1954, a devastating flood struck the entire Yangzi River basin, causing the first major natural disaster in the newly established People’s Republic of China (PRC). The young regime had just embarked on its First Five-Year Plan, aimed at achieving rapid economic development and industrialization. The flood swept across several provinces, displaced populations, and submerged farmlands, posing both a new challenge and an opportunity for the regime to shape the socioeconomic landscape of the affected regions. This article uses a localized perspective to examine how the rural society of Hubei Province, the hardest-hit area, responded to the disaster. The central government’s self-help doctrine delegated much power to local governments and communities. Local officials and rural cadres had considerable leeway in managing the relief campaign as they simultaneously followed the state macroeconomic policy of rural collectivization. The 1954 flood in Hubei Province serves as a case study that illustrates the complexities of disaster management in the early years of the PRC.","[('Yue Liang', '')]",[],"[{""discipline"": ""0602 中国史"", ""score"": 0.6532818228006363}, {""discipline"": ""0603 世界史"", ""score"": 0.6368223786354066}, {""discipline"": ""0833 城乡规划学"", ""score"": 0.5072545876105626}, {""discipline"": ""0910 水土保持与荒漠化防治学"", ""score"": 0.504847718278567}, {""discipline"": ""0903 农业资源与环境"", ""score"": 0.5035870840152105}]"
10.1353/late.2024.a948074,LATE IMPERIAL CHINA,0603 World History; 0602 History of China,The New Year Tangse Ceremony and the Making of Qing Rule,"Abstract: This paper traces the development of the New Year Tange ceremony and demonstrates its pivotal role in establishing the early Qing rule and Qing emperorship. Contrary to the prevalent idea that the ceremony was a long-standing tradition, I argue that it was meticulously designed by Nurhaci to ensure a smooth succession after his passing. Thus, the ceremony was entangled with consolidating the polity and its rulership from its inception. The ceremony underwent several alterations as the Jurchen khanate evovled into the Qing empire and moved south. In the 1670s, the Kangxi emperor transformed Tangse into an exclusive imperial shrine for the banner elites, as the court sought to end threats from Han Chinese warlords, further signified the emergence of a new ruling discourse: the prerequisite to claim Manchuness rested on the privileged banner status. This policy institutionalized the conflation of Manchu identity with banner affiliation. The transformation of the New Year Tangse ceremony from a court ritual, to an imperial rite, then to a state rite, and to a Manchu rite underscores the instrumental religious symbolism that Qing rulers relied on in times of struggles.","[('Julia Manchu Wu', '')]",[],"[{""discipline"": ""0602 中国史"", ""score"": 0.648642341295878}, {""discipline"": ""0603 世界史"", ""score"": 0.6353536049524943}, {""discipline"": ""0601 考古学"", ""score"": 0.4962813367446263}, {""discipline"": ""0301 法学"", ""score"": 0.4944310635328293}, {""discipline"": ""1005 中医学"", ""score"": 0.49404457608858743}]"
10.1353/tcc.2024.a938045,TWENTIETH-CENTURY CHINA,0603 World History; 0602 History of China,The Introduction,"Abstract: This essay introduces a special issue of Twentieth-Century China that explores the evolution of religiously motivated vegetarianism in Chinese societies from the late imperial period until today, with a focus on the twentieth century. Drawing on ancient practices of fasting and Mahāyāna Buddhist dietary rules, this vegetarianism quickly evolved into a widely accepted form of moral self-cultivation in many religious contexts, one that was intrinsically related to morality, self-actualization, notions of karma and retribution, and ritual purity. Since the late nineteenth century, the impacts of increasing transnational entanglements, new ideas, and changing food practices have subtly transformed this tradition: these transformations include an engagement with global animal protection movements in the wake of the First World War and contemporary attempts to integrate concerns about global warming, food safety, and environmentalism into the discourse. By looking at three specific cases, the special issue traces the persistence and evolution of vegetarian concepts and practices in Chinese societies from the late imperial period until today.","[('Nikolas Broy', ''), ('Matthias Schumann', '')]",[],"[{""discipline"": ""0602 中国史"", ""score"": 0.6796092659235001}, {""discipline"": ""0603 世界史"", ""score"": 0.6598196625709534}, {""discipline"": ""0905 畜牧学"", ""score"": 0.5277588466803232}, {""discipline"": ""1005 中医学"", ""score"": 0.5265347937742868}, {""discipline"": ""1004 公共卫生与预防医学"", ""score"": 0.5230320215225219}]"
10.1353/sys.2024.a946872,JOURNAL OF SONG-YUAN STUDIES,0603 World History; 0602 History of China; 0303 Sociology,The Assassination of Shidibala (r. 1320-1323) Reconsidered: Assumed Identities and Historiographical Erasures in Fourteenth-Century Yuan China,"Article Abstract: Has Shidibala been whitewashed by literati officials, court historians, and later scholars? Who was Tegshi, leader of the assassination plot? What was his relationship to the hated minister Temüder, to Shidibala's empress Sukebala, and to Shidibala's successor, Yisün-Temür? This article seeks to answer these questions in an attempt to show how the political agency of this Mongol qa'an has been framed or obscured in Yuan sources. Portrayals of his grandmother Dagi likewise exemplify how political agency asserted by women in ruling circles is typically decried as wasteful, inappropriate, or as an immoral interference in government. Yet its institutionalization in the Mongol-Yuan government, especially in the empress dowagers' office, demonstrates that the official and unofficial networks of royal women were important channels through which Mongolian imperial sovereignty was constructed and negotiated, increasingly in tension with the Daidu bureaucracy and a throne seeking to centralize power in its own hands.","[('Ruth W. Dunnell', '')]",[],"[{""discipline"": ""0602 中国史"", ""score"": 0.5892461597919464}, {""discipline"": ""0603 世界史"", ""score"": 0.5742049256960551}, {""discipline"": ""0303 社会学"", ""score"": 0.5708217680454254}, {""discipline"": ""0501 中国语言文学"", ""score"": 0.48474869231383005}, {""discipline"": ""0601 考古学"", ""score"": 0.48095155954360963}]"
10.1353/tcc.2023.a905567,TWENTIETH-CENTURY CHINA,0603 World History; 0602 History of China,THE PING-LIU-LI UPRISING OF 1906 UP CLOSE: ITS LOCAL CONTEXT AND ITS NATIONAL SIGNIFICANCE,"Abstract: The Ping-Liu-Li (Pingxiang, Liuyang, and Liling) uprising of 1906 is often said to have been led by revolutionaries, to have been supported by secret societies, and to have drawn support from two provinces (Hunan and Jiangxi) and three counties. This article argues that the events of the uprising have to be read in the light of disunified local gangs who had turf to protect, their interest in obtaining arms from the revolutionaries, and a very tense political situation that might indeed have evolved out of contact between revolutionaries and the gangs. However, the significance of the incident was magnified because of the proximity of the location to the high-profile Pingxiang Coal Mine in Jiangxi. The importance of the mine drew strong reactions from the court and the most senior provincial officials. In the process, guns, the telegraph, the railroad, and the newspapers all came into play in pushing the event to national prominence.","[('Xi He', '')]",[],"[{""discipline"": ""0602 中国史"", ""score"": 0.651432004570961}, {""discipline"": ""0603 世界史"", ""score"": 0.6429894804954529}, {""discipline"": ""0306 公安学"", ""score"": 0.4990672578414281}, {""discipline"": ""0308 纪检监察学"", ""score"": 0.4967616647481918}, {""discipline"": ""0601 考古学"", ""score"": 0.49641382992267613}]"
10.1353/tcc.2023.a905565,TWENTIETH-CENTURY CHINA,0603 World History; 0602 History of China,"THE MAKING OF ""EVIL TYRANT LANDLORDS"": A MICROHISTORY OF MORALIZED CLASS DIVISION DURING LAND REFORM IN BEIJING'S SUBURBS, 1949","Abstract: Class division represented arguably the most crucial stage of the land reform campaigns mounted by the Chinese Communist Party (CCP), as it not only divided the land but also the political power of rural Chinese society. Based on newly available local archives, this case study of class division during land reform in the suburbs of Beijing argues that the making of ""evil tyrant landlords""—and the struggle against them—played a decisive role in conceptualizing the ""landlord"" as both a figure of Marxist economic exploitation and the morally stigmatized rural elite during land reform and the building of the party-state. After the collapse of the existing rural ruling class, the ""struggle against tyrants"" movement immediately turned toward enacting formal class division. As a consequence, the discourse of class struggle based on a clear-cut landlord-peasantry dichotomy was, unsurprisingly, allowed by the CCP to infiltrate rural China's post-1949 political culture.","[('Shaofan An', '')]",[],"[{""discipline"": ""0602 中国史"", ""score"": 0.6563174873590469}, {""discipline"": ""0603 世界史"", ""score"": 0.6406627535820008}, {""discipline"": ""0833 城乡规划学"", ""score"": 0.5138880958159765}, {""discipline"": ""1203 农林经济管理"", ""score"": 0.5093528161446254}, {""discipline"": ""0302 政治学"", ""score"": 0.5079043984413147}]"
10.1353/sys.2023.a917265,JOURNAL OF SONG-YUAN STUDIES,0603 World History; 0602 History of China; 0303 Sociology,"THE DISTANT READING OF ""CONVERSATIONS"": DIALOGUE NETWORK ANALYSIS ON THE NORTHERN SONG ANECDOTE COLLECTION 'TANG YULIN'","Abstract: This study adapts the social network model to build structured representations of conversational interactions in the Tang yulin . In these dialogue networks, nodes represent interlocutors, and edges between nodes indicate the frequency and the direction of words from speakers to listeners. Algorithms calculate a series of statistical measurements that gauge the local and global importance of each node. The study highlights an influential, global “Xuánzong factor” across the dialogue network, and argues that Empress Wu Zetian is depicted as a more passive figure, more of a listener than a speaker, when compared with the male rulers of the Tang.","[('Amelia Ying Qin', '')]",[],"[{""discipline"": ""0303 社会学"", ""score"": 0.6053674519062042}, {""discipline"": ""0602 中国史"", ""score"": 0.5993956496318181}, {""discipline"": ""0603 世界史"", ""score"": 0.5933908025423685}, {""discipline"": ""0503 新闻传播学"", ""score"": 0.5200556923945745}, {""discipline"": ""0839 网络空间安全"", ""score"": 0.5081041882435481}]"
10.1353/tcc.2024.a917212,TWENTIETH-CENTURY CHINA,0603 World History; 0602 History of China,"Solving the ""Religious Problem"": The Great Leap Forward of ""Religious Work"" and Protestant Communities in Pingyang, Wenzhou in 1958","Abstract: Chinese Christians have long held that the central government sought to eliminate religion in the Wenzhou region of Zhejiang Province in 1958 and even attempted to promote the Wenzhou experience nationally. Yet, to this day, details of the plight that religious communities endured in Wenzhou during the Great Leap Forward remain obscure. This article examines the origins, development, and after-math of the local campaign to solve the ""religious problem"" in Wenzhou in 1958, focusing on the experience of Protestant communities in Pingyang County. I argue that the antireligious movement in Wenzhou during the Great Leap Forward was not a central initiative. Instead, what happened was that local state agents seized the opportunity offered by the Great Leap Forward to crush religious communities, especially Christian communities, with which they had long had tensions. The result was an antireligious movement that went far beyond what the central government had originally envisioned.","[('Xiaoxuan Wang', '')]",[],"[{""discipline"": ""0602 中国史"", ""score"": 0.6537476082642873}, {""discipline"": ""0603 世界史"", ""score"": 0.6418244342009227}, {""discipline"": ""0601 考古学"", ""score"": 0.5065524607896804}, {""discipline"": ""1407 区域国别学"", ""score"": 0.5045001010100046}, {""discipline"": ""1005 中医学"", ""score"": 0.5029005030790965}]"
10.1353/late.2023.a918495,LATE IMPERIAL CHINA,0603 World History; 0602 History of China,Shanxi's Men on the Spot: The Rise of Long-Distance Trading Firms on the Northern Frontier,"Abstract: Using archival records of the Gao Pu jade-smuggling case of the late Qianlong reign, this essay reconstructs the life story of Zhang Luan, the case's merchant protagonist. By foregrounding how Sanyihao, a Shanxi trading firm based in Guihuacheng (Hohhot), shaped Zhang's career, I aim to reveal unknown details about the Shanxi firms' operation and provide new perspectives on the evolution of the Chinese firm prior to the nineteenth century. I argue that the thriving long distance trade on the Qing Empire's northern frontier provided a crucial stimulus in spurring the development of the firm organization in China during the eighteenth century.","[('George Zhijian Qiao', '')]",[],"[{""discipline"": ""0602 中国史"", ""score"": 0.6532964378595352}, {""discipline"": ""0603 世界史"", ""score"": 0.6417511264483134}, {""discipline"": ""0601 考古学"", ""score"": 0.5040944327910741}, {""discipline"": ""1107 军事后勤学"", ""score"": 0.4910257538159688}, {""discipline"": ""1407 区域国别学"", ""score"": 0.49074822763601933}]"
10.1353/late.2023.a918494,LATE IMPERIAL CHINA,0603 World History; 0602 History of China,Shangyu Tiaoli and the Study of Qing Central Government Legislative Agendas,"Abstract: This article highlights a source from the Qing dynasty, published under various titles such as Shangyu tiaoli, Buyuan tiaozou, Gebuyuan tiaolice, and others, and describes its significance and usefulness for the study of Qing history. These publications are official compilations of regulations and legislations from the Qing government that were printed by various provincial governments since the early Qianlong reign to the end of the dynasty. They provide an alternative source for government documents that are sometimes missing from other official compilations such as the Veritable Records and the Shangyu dang. They also preserve elements of inter-agency communication that are routinely excised from these other official compilations, thus offering the historian a useful addition to the repository of sources that one could consult for various topics.","[('Lawrence Zhang', ''), ('Chong Li', '')]",[],"[{""discipline"": ""0602 中国史"", ""score"": 0.6754206568002701}, {""discipline"": ""0603 世界史"", ""score"": 0.6566667238871257}, {""discipline"": ""1008 中药学"", ""score"": 0.5203005840380986}, {""discipline"": ""0601 考古学"", ""score"": 0.5177742828925451}, {""discipline"": ""1005 中医学"", ""score"": 0.5171834687391916}]"
